CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Adams County Apples, LLC",825 O'Brien Road,,Othello,WA,99344,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,3,3,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"LSI Orchard, LLC",260 Brays Landing Road,,Orondo,WA,98843,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,3,3,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Loomis Orchard, LLC",988 Loomis-Oroville Road,,Tonasket,WA,98855,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,3,3,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,Foreman Fruit and Land Company LLC,104 Pogue Road,,Okanogan,WA,98840,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,2,2,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Mile Post 277, LLC",Hwy 97 near Riebbe Road,,Malott,WA,98829,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,2,2,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Brays Orchard, LLC",260 Brays Landing Road,,Orondo,WA,98843,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,3,3,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Bench Orchard, LLC",1733 W Bench Road,,Othello,WA,99344,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,2,2,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Othello's Edge Orchard, LLC",2425 Hatton Road,,Othello,WA,99344,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,2,2,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Vantage Orchard, LLC",12006 Road P SW,,Royal City,WA,99357,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,2,2,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-404760,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-11-10,SUB,"Simmons Orchard, LLC",260 Brays Landing Road,,Orondo,WA,98843,UNITED STATES OF AMERICA,,360-455-8064,4,,,,,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pears,,3,3,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Othello,WA,99344,Y,,Washington State Employment Department,168585344,2016-06-23,2016-09-23
H-300-16168-425248,2016-06-30,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-15,2016-12-31,PRI,PORPIGLIA FARMS INC,507 LATTINTOWN ROAD,,MARLBORO,NY,12542,UNITED STATES OF AMERICA,,845-236-4400,,VALLEY GROWERS CO-OP,JOSEPH RUSSO,MILTON,NY,FARMWORKERS AND LABORERS CROP,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,8,8,Y,Seasonal,44,07:00 AM,04:00 PM,$11.74,Hour,,,N,,None,,,N,,N,,,Y,3,MARLBORO,NY,12542,Y,Individual Employer,NYS DEPARTMENT OF LABOR,NY 1172754,2016-06-16,2016-10-23
H-300-16168-482854,2016-07-07,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-07-31,2016-12-31,PRI,Tyler Cameron,"13151 81st  Street, NE",,Crystal,ND,58222,UNITED STATES OF AMERICA,,701-520-0790,,"USAFARMLABOR, INC",MANUEL FICK,WAYNESVILLE,NC,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,423930,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Hour,,,N,,None,,,N,,N,,,Y,3,Crystal,ND,58222,N,Individual Employer,Job Service North Dakota,472773,,
H-300-16168-495102,2016-07-05,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-07-31,2017-01-20,PRI,MARTIN FARMS,200 CHAPLIN RD,,BLOOMFIELD,KY,40008,UNITED STATES OF AMERICA,,502-259-9142,,FARMERS AID AMERICA,CAROL SCHICK,OCALA,FL,"FARMWORKERS AND LABORERS,CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,,5,5,Y,Seasonal,40,07:30 AM,04:30 PM,$10.85,Hour,,,N,,None,,,N,,N,,,N,,bloomfield,KY,40008,Y,Individual Employer,STATE WORKFORCE AGENCY,614432851,2016-06-14,2016-10-22
H-300-16168-562169,2016-06-30,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-01,2016-10-15,PRI,Jason G. Herndon Farms,"1188 Lawson Road, Suite B",Mailing:120 G Brinson Road,Lyons,GA,30436,UNITED STATES OF AMERICA,,912-565-0606,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sweet Potatoes,,49,49,Y,Seasonal,40,07:00 AM,02:30 PM,$10.59,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,1,Lyons,GA,30436,Y,Individual Employer,Georgia Department of Labor,GA467760480,2016-06-06,2016-09-08
H-300-16168-753847,2016-07-11,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-09,2017-01-01,PRI,Jacobo Wieler Friesen Farms JV,268 CR 304,,Seminole,TX,79360,UNITED STATES OF AMERICA,,432-661-3959,,STATE SERVICES CORPORATION,IRAM JAFRI,WINDSOR,,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Corn,423930,1,1,Y,Seasonal,48,09:00 AM,05:00 PM,$11.15,Hour,,,N,,None,,,N,,N,,,N,,Dalhart,TX,79022,N,Individual Employer,TWC,TX5147205,2016-06-14,2016-10-20
H-300-16168-755839,2016-07-15,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-25,2016-11-23,PRI,LAKESIDE ORCHARDS INC.,5796 WILSON-BURT ROAD,,BURT,NY,14028,UNITED STATES OF AMERICA,,716-778-7631,,,,,,"Farmworkers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,28,28,Y,Seasonal,48,07:00 AM,03:30 PM,$11.74,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Burt,NY,14028,Y,Individual Employer,NYS Department of Labor,NY1172756,2016-06-16,2016-10-09
H-300-16168-840795,2016-07-05,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-07-30,2016-10-30,PRI,EAST FARMS LC,4910 W. CANVASBACK LN,,WEST POINT,UT,84015,UNITED STATES OF AMERICA,,801-557-6232,,NORTH AMERICAN LABOR SERVICE INC.,JON CLANCY,VANCLEAVE,MS,FARMWORKER/LABORER CROP,45-2092.02,General Farmworkers,Tomatoes,,10,10,Y,Seasonal,40,07:00 AM,03:30 PM,$11.27,Hour,,,N,,None,,,N,,N,,,Y,3,LAYTON,UT,84041,N,Individual Employer,UTAH,1060399,2016-06-16,2016-09-15
H-300-16168-847267,2016-07-08,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-29,2017-02-01,PRI,JOE O'DONOGHUE,971 MCCOY ROFF ROAD,,Westview,KY,40178,UNITED STATES OF AMERICA,,270-257-8293,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,6,6,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,WESTVIEW,KY,40178,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",615402551,2016-06-16,2016-11-15
H-300-16168-894913,2016-07-08,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION,2016-08-13,2016-10-15,PRI,"A&T Farms, Inc",10505 N 234th St,,Valley,NE,68064,UNITED STATES OF AMERICA,,402-779-5787,,SOUTHERN IMPACT,LESLI DOWNS,TULSA,OK,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",General Farmworker,,12,12,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Select Pay Range,,,N,,None,,,N,,N,,,Y,3,Valley,NE,68064,Y,Individual Employer,NE DOL,358395,2016-06-14,2016-09-14
H-300-16168-928842,2016-08-29,H-2A,2016-06-16,DETERMINATION ISSUED - WITHDRAWN,2016-08-15,2016-10-31,PRI,Snowy Range Livestock LLC,"120 Forbes Lane, Laramie WY 82070","120 Forbes Lane, Laramie WY 82070",Laramie,WY,82070,UNITED STATES OF AMERICA,,307-742-9041,,Mountain Plains Ag Service,SANDRA STUNTEBECK,Casper,WY,Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Livestock,,2,0,Y,Seasonal,60,12:00 AM,12:00 PM,"$1,206.31",Month,,,N,,None,N/A,N/A,N,,N,,,Y,6,Laramie,WY,82070,Y,Association - Filing as Agent (H-2A Only),WY State Workforce,2610901,2016-06-22,2016-09-23
H-300-16168-951713,2016-08-01,H-2A,2016-06-16,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-08-20,2016-10-01,PRI,"NEVADA ONION, INC.",PO Box 128,61 Bowman Lane,Yerington,NV,89447,UNITED STATES OF AMERICA,N/A,775-463-3642,,SNAKE RIVER FARMERS ASSOCIATION INC,Betsy Parkin,HEYBURN,ID,Harvest Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Onions,,85,85,Y,Seasonal,48,07:00 AM,04:00 PM,$1.09,Select Pay Range,,,N,,None,N/A,N/A,N,,N,,,Y,0,Yerington,NV,89447,Y,Individual Employer,NV DETR,NV0392509,2016-06-13,2016-09-10
H-300-16169-038259,2016-07-29,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-07-31,2016-12-31,PRI,Randy's Barnyard Service Inc.,104 3rd Ave SE,,Medina,ND,58467,UNITED STATES OF AMERICA,,701-320-0716,,LIBERTY IMMIGRATION,CATHY KNECHT,CLEVELAND,ND,Agricultural Equipment Operators,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,,1,1,Y,Seasonal,40,08:00 AM,05:00 PM,$13.80,Hour,,,N,,None,,,N,,N,,,Y,3,Medina,ND,58467,N,Individual Employer,North Dakota Job Services,47048,2016-06-02,2016-10-12
H-300-16169-070798,2016-07-15,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-22,2016-10-31,PRI,WAFLA,8830 TALLON LANE NE SUITE C,,LACEY,WA,98516,UNITED STATES OF AMERICA,,360-455-8064,2,,,,,Farmworkers and laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,36,36,Y,Seasonal,40,07:00 AM,03:00 PM,$12.69,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Granger,WA,98932,Y,Association - Joint Employer (H-2A Only),WorkSource Sunnyside,168717240,2016-06-16,2016-09-27
H-300-16169-070798,2016-07-15,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-22,2016-10-31,SUB,Washington Agri Management,252 N Rushmore,,Selah,WA,98942,UNITED STATES OF AMERICA,,360-455-8064,2,,,,,Farmworkers and laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,12,12,Y,Seasonal,40,07:00 AM,03:00 PM,$12.69,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Granger,WA,98932,Y,,WorkSource Sunnyside,168717240,2016-06-16,2016-09-27
H-300-16169-070798,2016-07-15,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-22,2016-10-31,SUB,Monson LLC,252 N Rushmore Rd.,,Selah,WA,98942,UNITED STATES OF AMERICA,,360-455-8064,2,,,,,Farmworkers and laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,12,12,Y,Seasonal,40,07:00 AM,03:00 PM,$12.69,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Granger,WA,98932,Y,,WorkSource Sunnyside,168717240,2016-06-16,2016-09-27
H-300-16169-070798,2016-07-15,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-22,2016-10-31,SUB,R and M Orchards LLC,252 N Rushmore Rd,,Selah,WA,98942,UNITED STATES OF AMERICA,,360-455-8064,2,,,,,Farmworkers and laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,12,12,Y,Seasonal,40,07:00 AM,03:00 PM,$12.69,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Granger,WA,98932,Y,,WorkSource Sunnyside,168717240,2016-06-16,2016-09-27
H-300-16169-073592,2016-07-07,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-15,2016-10-10,PRI,"Stennes Orchards, Inc.",35 Homestead Drive,,Pateros,WA,98846,UNITED STATES OF AMERICA,,509-923-2040,,wafla,THERESA MADDEN,Lacey,WA,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,4239,14,14,Y,Seasonal,40,07:00 AM,03:30 PM,$12.69,Hour,,,N,,None,,,N,,N,,,Y,3,Pateros,WA,98846,Y,Association - Filing as Agent (H-2A Only),Washington State Employment Department,168627610,2016-06-17,2016-09-13
H-300-16169-129539,2016-07-25,H-2A,2016-07-06,DETERMINATION ISSUED - CERTIFICATION,2016-09-15,2016-12-31,PRI,Premier Grain Farms,3185 Campfire Rd,n/a,Walker,IA,52352,UNITED STATES OF AMERICA,n/a,319-224-3242,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MC GREGOR,IA,Farm Machine Operator,45-2091,Agricultural Equipment Operators,Corn,,10,10,Y,Seasonal,40,08:00 AM,05:00 PM,$12.17,Hour,,,N,,None,,,N,,N,,,Y,3,Coggan,IA,52218,N,Individual Employer,Iowa Workforce Development,IA5718066,2016-07-16,2016-11-08
H-300-16169-283302,2016-07-29,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-29,2017-02-15,PRI,David Talley,116 Ringo Ave,,Frankfort,KY,40601,UNITED STATES OF AMERICA,,502-803-5750,,"AGRICULTURE WORKFORCE MANAGEMENT ASSOCIATION, INC.",DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,18,18,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Frankfort,KY,40601,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",615597861,2016-06-16,2016-11-22
H-300-16169-288611,2016-07-26,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-15,2016-11-20,PRI,"EB HARVESTING, LLC",2509 SE West Farm Road,,ARCADIA,FL,34260,UNITED STATES OF AMERICA,,863-990-4834,,Florida Fruit & Vegetable Association,CHRISTINE SYNAN,MAITLAND,FL,Farmworkers and Laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sweet Potatoes,,48,48,Y,Seasonal,36,07:00 AM,02:00 PM,$10.72,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,1,Kenley,NC,27542,Y,Association - Filing as Agent (H-2A Only),North Carolina Department of Commerce,10539246,2016-06-10,2016-10-02
H-300-16169-331742,2016-07-01,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-01,2016-11-15,PRI,"Risenmay Farms, Inc.",4 North 3100 East,N/A,Idaho Falls,ID,83402,UNITED STATES OF AMERICA,N/A,208-524-0811,,SNAKE RIVER FARMERS ASSOCIATION INC,Elizabeth (Betsy) Parkin,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Potatoes,,2,2,Y,Seasonal,40,08:00 AM,04:00 PM,$11.75,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,Roberts,ID,83444,N,Individual Employer,ID Dept of Commerce and Labor/Alien Labor Unit,757251,2016-06-07,2016-09-23
H-300-16169-390247,2016-07-15,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-15,2016-11-15,PRI,"Peri & Sons Farms, Inc.",102 N. Mc Leod St,,Yerington,NV,89447,UNITED STATES OF AMERICA,,775-463-4444,,,,,,"Farmworkers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Broccoli,,32,32,Y,Seasonal,45,07:00 AM,04:00 PM,$11.37,Hour,,,N,,None,,,N,,N,,,Y,1,Yerington,NV,89447,N,Individual Employer,Nevada Employment Security Division,NV0391943,2016-06-07,2016-09-30
H-300-16169-446533,2016-06-28,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-10,2017-01-05,PRI,Janice L. Corley,100 Munson Road,,Cheneyville,LA,71325,UNITED STATES OF AMERICA,,318-279-2333,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sugarcane,,3,3,Y,Seasonal,40,07:00 AM,03:00 PM,$10.69,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Cheneyville,LA,71325,N,Individual Employer,Louisiana Workforce Commission,LA627079,2016-06-03,2016-10-23
H-300-16169-482498,2016-07-06,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-15,2016-10-15,PRI,"Peri & Sons Farms, Inc.",102 N. Mc Leod St,,Yerington,NV,89447,UNITED STATES OF AMERICA,,775-463-4444,,,,,,"Farmworkers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Romaine,,204,204,Y,Seasonal,45,07:00 AM,04:00 PM,$11.37,Hour,,,N,,None,,,N,,N,,,Y,1,Yerington,NV,89447,N,Individual Employer,Nevada Employment Security Division,NV0391914,2016-06-06,2016-09-14
H-300-16169-502717,2016-07-18,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2016-10-15,PRI,"H2A COMPLETE II, INC.",1925 First Commercial Drive N Suite 109,,Southaven,MS,38671,UNITED STATES OF AMERICA,,662-393-4241,,,,,,Farmworkers and Laborers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Watermelons,,50,50,Y,Seasonal,35,07:00 AM,01:00 PM,$12.07,Hour,,,N,,None,,,N,,N,,,Y,3,Vicksburg,MI,49097,Y,H-2A Labor Contractor or Job Contractor,Indiana Department of Workforce,IN8762130,2016-06-07,2016-09-09
H-300-16169-506226,2016-07-14,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-01,2016-12-01,PRI,KELLY HALL,8540 87TH AVENUE NE,N/A,MUNICH,ND,58352,UNITED STATES OF AMERICA,N/A,701-370-0537,,"H2 VISA CONSULTANTS, LLC",ROBERT MCCUBBIN,MISSOULA,MT,EQUIPMENT OPERATOR,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,,3,3,Y,Seasonal,40,08:00 AM,05:00 PM,$13.80,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,6,MUNICH,ND,58352,N,Individual Employer,NORTH DAKOTA SWA,470724,2016-06-03,2016-10-01
H-300-16169-711124,2016-07-05,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-12,2016-10-28,PRI,"CSS Farms, Inc.",31341 160th St.,,Colombus,NE,68601,UNITED STATES OF AMERICA,,402-897-2577,,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,Potatoes,,2,2,Y,Seasonal,48,08:00 AM,06:00 PM,$13.80,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Columbus,NE,68601,N,Individual Employer,Nebraska Workforce Division,358284,2016-06-13,2016-09-20
H-300-16169-778895,2016-07-08,H-2A,2016-06-20,DETERMINATION ISSUED - CERTIFICATION,2016-08-10,2016-11-15,PRI,Burt's Farm LLC,4801 Highway 52,,Dawsonville,GA,30534,UNITED STATES OF AMERICA,,706-344-9759,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Pumpkins,,15,15,Y,Seasonal,40,07:00 AM,02:30 PM,$10.59,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Dawsonville,GA,30534,Y,Individual Employer,Georgia Department of Labor,GA479336054,2016-06-10,2016-09-28
H-300-16169-787436,2016-09-15,H-2A,2016-06-17,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-08-01,2016-12-31,PRI,J L Farms Inc,"11675 415 Ave,",,Claremont,SD,57432,UNITED STATES OF AMERICA,,605-448-8054,,LIBERTY IMMIGRATION,CATHY KNECHT,CLEVELAND,ND,Agricultural Equipment Operators,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,,6,4,Y,Seasonal,40,08:00 AM,05:00 PM,$13.80,Hour,,,N,,None,,,N,,N,,,Y,3,Claremont,SD,57432,N,Individual Employer,South Dakota department of labor and regulation,1748900,2016-06-07,2016-10-12
H-300-16169-892018,2016-07-22,H-2A,2016-06-20,DETERMINATION ISSUED - CERTIFICATION,2016-08-11,2016-11-02,PRI,"Snappy Apple Farms, Inc.",961 Newaygo Rd.,"mailing: 961 Newaygo Rd. , Casnovia MI  49318",Casnovia,MI,49318,UNITED STATES OF AMERICA,N/A,616-675-7354,,MAS LABOR H-2A,Elizabeth Whitley,LOVINGSTON,VA,Apple Harvester,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,20,20,Y,Seasonal,35,08:00 AM,03:00 PM,$12.02,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,2,Casnovia,MI,49318,Y,Individual Employer,"Michigan Works/Kent and Allegan, Barry Westside Service Center",6893212,2016-06-10,2016-09-20
H-300-16169-950645,2016-07-05,H-2A,2016-06-17,DETERMINATION ISSUED - CERTIFICATION,2016-08-05,2017-02-28,PRI,National Fruit Orchards,701 Fairmont Avenue,"mailing: 701 Fairmont Avenue, Winchester, VA 22601",Winchester,VA,22601,UNITED STATES OF AMERICA,,540-662-3401,,"MAS LABOR H-2A, LLC",Elizabeth Whitley,LOVINGSTON,VA,Orchard Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Apples,,20,20,Y,Seasonal,40,07:00 AM,02:30 PM,$10.85,Hour,,,N,,None,,,N,,N,,,Y,3,Gerrardstown,WV,25420,N,Individual Employer,Martinsburg AJC,WV8237682,2016-06-08,2016-11-16
